TABLE_ID,CODIGO,ESCUELA,REGION,DISTRITO,MUNICIPIO_ESCOLAR,DIRECCION_FISICA,DIRECCION_MUNICIPIO,DIRECCION_ESTADO,DIRECCION_ZIPCODE,GEOLOCALIZACION,TELEFONO,FAX,DIRECTOR,ZONA,OPERACIONAL_2018-2019,NIVEL_ORIGINAL,GRADOS_ORIGINAL,GRADOS_POSTERIOR,MATRICULA_TOTAL,GRADO_INFANT,GRADO_TODDLER,GRADO_PK,GRADO_PKE,GRADO_PKM,GRADO_K,GRADO_1,GRADO_2,GRADO_3,GRADO_4,GRADO_5,GRADO_6,GRADO_SGE,GRADO_7,GRADO_8,GRADO_9,GRADO_SGI,GRADO_10,GRADO_11,GRADO_12,GRADO_SGS,ESPAÑOL_[PROFICIENTE+AVANZADO],ESPAÑOL_PRE-BÁSICO,ESPAÑOL_BÁSICO,ESPAÑOL_PROFICIENTE,ESPAÑOL_AVANZADO,MATEMÁTICAS_[PROFICIENTE+AVANZADO],MATEMÁTICAS_PRE-BÁSICO,MATEMÁTICAS_BÁSICO,MATEMÁTICAS_PROFICIENTE,MATEMÁTICAS_AVANZADO,INGLÉS_[PROFICIENTE+AVANZADO],INGLÉS_PRE-BÁSICO,INGLÉS_BÁSICO,INGLÉS_PROFICIENTE,INGLÉS_AVANZADO,BAJO_NIVEL_POBREZA
11,78931,ADELA ROLON FUENTES,BAYAMON,TOA BAJA,TOA ALTA,"AVE PRINCIPAL, TOA ALTA HEIGHTS",TOA ALTA,PR,00954-0000,"(18.3609, -66.21538)",279-8282,279-8282,WANDA J SILVAGNOLI MANUEL,RURAL,SI,SUPERIOR,12-Oct,12-Oct,703,,,,,,,,,,,,,,,,142,,143,171,247,,44.81,14.94,40.26,26.62,18.18,6.67,30,63.33,5.33,1.33,37.93,33.1,28.97,16.55,21.38,59.53
12,71514,ADOLFINA IRIZARRY DE PUIG,BAYAMON,TOA BAJA,TOA BAJA,AVE LUIS MUNOZ RIVERA FINAL #2,TOA BAJA,PR,9510000,"(18.43998, -66.25288)",794-2018,794-2018,LUIS R. ROCCA CASTRO,URBANA,SI,SUPERIOR,12-Oct,12-Oct,628,,,,,,,,,,,,,,,,136,,175,168,149,,41.88,16.88,41.25,25,16.88,5.59,22.36,72.05,4.97,0.62,24.69,48.15,27.16,12.35,12.35,76.91
13,42473,ADOLFO BABILONIA,MAYAGUEZ,SAN SEBASTIAN,MOCA,230 CALLE ISABELA PUEBLO,MOCA,PR,00676-0000,"(18.39537, -67.11244)",877-3170,877-3170,ELBA HERNANDEZ,URBANA,SI,ELEMENTAL,"K - 6 , EEE","K - 6 , EEE",322,,,,5,,34,49,41,54,42,67,,30,,,,,,,,,38.98,24.86,36.16,19.21,19.77,43.43,16,40.57,20.57,22.86,42.29,24,33.71,26.86,15.43,88.96
14,51953,ADOLFO GRANA RIVERA,PONCE,YAUCO,PEÑUELAS,CALLE LUIS MUNOZ RIVERA,PENUELAS,PR,00624-0000,"(18.05218, -66.72196)",836-1005,836-6347,MARTA SYLVIA JORDAN TORRES,URBANA,NO,ELEMENTAL,"4 - 6 , EEE","4 - 6, EEE",270,,,,,,,,,,72,96,93,9,,,,,,,,,54.81,13.33,31.85,14.81,40,45.35,9.29,45.35,34.57,10.78,45.72,14.5,39.78,26.77,18.96,80
15,58594,ADRIAN TORRES TORRES,PONCE,UTUADO,JAYUYA,CARR 141-R KM 2 HM 1 SECTOR PUEBLO,,,,"(18.132715, -66.354215)",828-3625,,JOSE R COLON TORRES,URBANA,SI,INTERMEDIO,"7 - 9 , EEI","7 - 9 , EEI",387,,,,,,,,,,,,107,,92,77,101,10,,,,,48.53,16.54,34.93,28.31,20.22,8.09,22.43,69.49,7.35,0.74,27.57,28.68,43.75,18.01,9.56,70.47
16,32375,ADRIANNE SERRANO,HUMACAO,FAJARDO,VIEQUES,,,,,,,,,,SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.28
17,74807,AGAPITO ROSARIO ROSARIO,ARECIBO,VEGA ALTA,VEGA BAJA,CALLE S ESQ T URB ALTURAS,VEGA BAJA,PR,00694-7004,"(18.43408, -66.40216)",858-2988,858-1630,DRA. LUCIA VEGA MOLINA,RURAL,SI,ELEMENTAL,"K - 6 , EEE","K - 6 , EEE",447,,,,5,,66,71,70,76,70,85,,4,,,,,,,,,50.94,11.95,37.11,24.84,26.1,38.17,13.25,48.58,22.71,15.46,43.85,13.88,42.27,33.12,10.73,78.81
18,74286,AGRICOLA DE BUCARABONES,BAYAMON,TOA BAJA,TOA ALTA,CARR 819 KM 1.1 BUCARABONES,TOA ALTA,PR,-954,"(18.38543, -66.21732)",780-0615,251-9316,BELKIS ARENADO RODRIGUEZ,RURAL,SI,PS - OTROS,ADULTOS,ADULTOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,50740,AGRIPINA SEDA,PONCE,YAUCO,GUANICA,45 CALLE 13 DE MARZO,GUANICA,PR,6530690,"(17.9726, -66.90617)",821-2570,821-8063,CARLOS J. FELICIANO ACOSTA,URBANA,SI,INTERMEDIO,"7 - 9 , EEI","7 - 9 , EEI",274,,,,,,,,,,,,98,,73,91,,12,,,,,31.6,34.2,34.2,19.7,11.9,1.12,40.3,58.58,1.12,0,33.33,32.95,33.72,20.69,12.64,83.15
442,27623,INSTITUTO TEC RECINTO DE GUAYAMA,CAGUAS,GUAYAMA,GUAYAMA,URB. VIVES BO MACHETE,GUAYAMA,PR,00785-0000,"(17.97802, -66.11837)",864-0354,864-3350,JAIME A COLON APONTE,URBANA,SI,PS - INSTITUTO,13-14,13-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,43679,AGUSTIN ACEVEDO HERNANDEZ,MAYAGUEZ,SAN SEBASTIAN,SAN SEBASTIAN,CARR 111 KM 24 HATO ARRIBA,SAN SEBASTIAN,PR,00676-0000,"(18.33367, -66.97788)",896-2105,896-2105,ZAIDA CORDERO LORENZO,RURAL,NO,ELEMENTAL,K - 6,K - 6,211,,,,,,27,26,26,45,42,45,,,,,,,,,,,27.45,25.49,47.06,21.57,5.88,27.45,22.88,49.67,20.92,6.54,29.41,30.07,40.52,18.95,10.46,64.08
21,66019,AGUSTIN CABRERA,SAN JUAN,CAROLINA,CAROLINA II,URB V.CAROLINA,CAROLINA,PR,00985-0000,"(18.39549, -65.96069)",768-1725,768-1725,GISELA ACEVEDO,URBANA,SI,INTERMEDIO,9-Jul,"6 - 8, EEE",465,,,,,,,,,,,,161,,140,164,,,,,,,40,7.5,52.5,26.25,13.75,2.5,23.75,73.75,1.25,1.25,31.88,33.75,34.38,15.63,16.25,83.44
22,21337,AGUSTIN FERNANDEZ COLON,CAGUAS,CIDRA,CAYEY,CARR 14 AVE ANTONIO R BARCELO BO MONTELLANO,CAYEY,PR,00737-0000,"(18.12282, -66.14269)",738-5761,263-9466,MARGARITA ALVARADO OCASIO,RURAL,NO,ELEMENTAL,"K - 6 , EEE","K - 6 , EEE",159,,,,,,25,19,20,18,21,29,,27,,,,,,,,,48.24,15.29,36.47,28.24,20,55.29,14.12,30.59,24.71,30.59,56.47,16.47,27.06,44.71,11.76,88.08
23,43455,AIBONITO BELTRAN,MAYAGUEZ,SAN SEBASTIAN,SAN SEBASTIAN,CARR 457 KM 0.6 BO AIBONITO INT 448,SAN SEBASTIAN,PR,6850977,"(18.38331, -66.9333)",896-4362,896-4362,MARC RODRIGUEZ RIOS,RURAL,NO,ELEMENTAL,K - 6,K - 6,120,,,,,,22,27,25,15,15,16,,,,,,,,,,,63.49,14.29,22.22,25.4,38.1,71.43,0,28.57,44.44,26.98,76.19,6.35,17.46,46.03,30.16,86.49
24,62984,ALBERT EINSTEIN,SAN JUAN,SAN JUAN II,SAN JUAN IV,CALLE HAYDEE REXACH ESQ BORINQUEN,SAN JUAN,PR,00916-0000,"(18.4331, -66.04607)",727-5525,727-5625,VILMA SANTIAGO,URBANA,SI,SUPERIOR,"10 - 12 , EES","10 - 12 , EES",425,,,,,,,,,,,,,,,,89,,93,104,124,15,24.71,16.47,58.82,18.82,5.88,0,39.53,60.47,0,0,21.18,49.41,29.41,17.65,3.53,89.51
25,14340,ALBERTO MELENDEZ,BAYAMON,OROCOVIS,OROCOVIS,CALLE JUAN D RIVERA DE SANTIAGO,OROCOVIS,PO BOX 644,00720-0000,"(18.22596, -66.39266)",867-3353,867-3353,GISELA PADILLA RIVERA,URBANA,SI,SUPERIOR,12-Oct,12-Oct,511,,,,,,,,,,,,,,,,114,,144,111,142,,35.11,15.96,48.94,21.28,13.83,18.09,20.21,61.7,8.51,9.57,41.49,26.6,31.91,21.28,20.21,81.53
26,40519,ALCIDES FIGUEROA,MAYAGUEZ,AGUADILLA,ANASCO,CALLE MARIA MONAGAS,ANASCO,PR,6101407,"(18.28147, -67.13728)",826-0570,826-2250,ROSA E. COLLADO GONZALEZ,URBANA,SI,INTERMEDIO,"7 - 9 , EEI","7 - 9 , EEI",284,,,,,,,,,,,,45,,25,42,51,,26,46,49,,88.39,1.79,9.82,28.57,59.82,32.14,2.68,65.18,22.32,9.82,97.32,0,2.68,11.61,85.71,42.25
27,71449,ALEJANDRO JR CRUZ,BAYAMON,TOA BAJA,TOA ALTA,CARR 165 KM4 BO GALATEO,TOA ALTA,PR,00954-0000,"(18.36625, -66.25677)",870-1662,870-1560,MARIA D. PABON NARVAEZ,RURAL,SI,ELEMENTAL,"K - 6 , EEE","K - 5, EEE",204,,,,,,37,48,27,25,32,22,,13,,,,,,,,,57.89,7.89,34.21,36.84,21.05,60.53,13.16,26.32,10.53,50,36.84,18.42,44.74,26.32,10.53,88.72
28,75671,ALEJANDRO JR CRUZ,SAN JUAN,GUAYNABO,GUAYNABO,CARR 834 INT KM 3 HM 4 BO MAMEY II,GUAYNABO,PR,9700000,"(18.30477, -66.12162)",287-6080,731-8231,AVELINA RIVERA CARRILLO,RURAL,NO,ELEMENTAL,K - 6,K - 6,123,,,,,,24,21,14,24,23,17,,,,,,,,,,,97.8,0,2.2,16.48,81.32,96.7,0,3.3,27.47,69.23,85.71,1.1,13.19,30.77,54.95,81.9
29,41475,ALEJANDRO TAPIA Y RIVERA,MAYAGUEZ,CABO ROJO,LAJAS,CARR 304 KM 3.0BO LA PARGUERA,LAJAS,PR,00667-0000,"(17.97474, -67.04707)",899-4088,808-2246,ADA I. PEREZ RAMOS,RURAL,NO,ELEMENTAL,K - 6,K - 6,101,,,,,,14,9,18,21,24,15,,,,,,,,,,,75.64,1.28,23.08,26.92,48.72,70.51,10.26,19.23,30.77,39.74,69.23,0,30.77,41.03,28.21,86.46
30,63172,ALEJANDRO TAPIA Y RIVERA,SAN JUAN,SAN JUAN II,SAN JUAN IV,VILLA PALMERA 369 CALLE BELEVUE,SAN JUAN,PR,00915-0000,"(18.43826, -66.04516)",726-0100,726-0100,SHEILA GAGLIANI RIVERA,URBANA,SI,ELEMENTAL,"K - 6 , EEE","K - 5, EEE",305,,,,,,44,51,50,51,40,54,,15,,,,,,,,,18.32,35.11,46.56,13.74,4.58,15.27,25.19,59.54,10.69,4.58,7.03,55.47,37.5,7.03,0,94.5
31,69179,ALEJANDRO TAPIA Y RIVERA,SAN JUAN,GUAYNABO,TRUJILLO ALTO,"CARR. 844, KM.5, HM. 0, BO CARRAIZO",TRUJILLO ALTO,PR,00976-0000,"(18.34204, -66.03302)",760-0370,760-0370,MARLINE RIVERA FRANCESCHI,RURAL,NO,INTERMEDIO,"7 - 9 , EEI","7 - 9 , EEI",310,,,,,,,,,,,,57,,50,51,62,33,57,,,,49.28,8.7,42.03,43.48,5.8,7.25,13.04,79.71,7.25,0,39.13,21.74,39.13,27.54,11.59,73.2
32,31542,ALFONSO CASTA  MARTINEZ,HUMACAO,YABUCOA,MAUNABO,AVE CALIMANO,MAUNABO,PR,00707-0000,"(18.00734, -65.89685)",861-2300,861-2300,JUANA J HERNANDEZ,URBANA,SI,SUPERIOR,12-Oct,12-Oct,369,,,,,,,,,,,,,,,,112,,95,81,81,,42.86,9.09,48.05,20.78,22.08,0,27.27,72.73,0,0,31.17,25.97,42.86,20.78,10.39,76.34
33,32979,ALFONSO DIAZ LEBRON,HUMACAO,LAS PIEDRAS,JUNCOS,CARR 31 SALIDA HACIA NAGUABO,JUNCOS,PR,00777-0000,"(18.22674, -65.91815)",734-6806; TS-734-3618,734-6806,SANDRA JIMENEZ CUEVAS,URBANA,SI,INTERMEDIO,9-Jul,"6 - 8, EEI",334,,,,,,,,,,,,118,,115,101,,,,,,,39.8,14.93,45.27,28.86,10.95,2.96,34.98,62.07,2.96,0,33.17,38.19,28.64,23.12,10.05,76.65
34,20065,ALFONSO LOPEZ O'NEILL,CAGUAS,CIDRA,AGUAS BUENAS,CARR 797 KM 2 HM 4 BO. JAGUEYES ABAJO,AGUAS BUENAS,PR,7030000,"(18.28765, -66.07612)",747-5895,747-5895,WANDA E. VELAZQUEZ,RURAL,SI,ELEMENTAL,K - 6,"K - 5, EEE",222,,,,,,20,34,48,42,37,40,,1,,,,,,,,,37.5,19.32,43.18,18.18,19.32,40.91,15.91,43.18,29.55,11.36,28.41,6.82,64.77,22.73,5.68,79.81
35,53330,ALMACIGO ALTO II,PONCE,YAUCO,YAUCO,CARR 371 BO ALMACIGO ALTO,YAUCO,PR,00698-0000,"(18.06108, -66.88103)",856-2141,856-2141,CLARIBEL CAMACHO QUINONEZ,RURAL,SI,ELEMENTAL,"PK - 6 , EEE","PK - 6 , EEE",135,,,16,,,15,23,14,18,24,18,,7,,,,,,,,,72.06,1.47,26.47,33.82,38.24,79.41,2.94,17.65,38.24,41.18,36.76,13.24,50,25,11.76,94.78
36,53355,ALMACIGO BAJO I Y BAJO II,PONCE,YAUCO,YAUCO,CARR 371 KM 3 SECTOR PARCELAS BO ALMACIGO BAJO,YAUCO,PR,00698-0000,"(18.05284, -66.86901)",856-9028,856-9028,LUZ E ORTIZ,RURAL,NO,ELEMENTAL,K - 6,K - 6,125,,,,,,19,20,22,19,23,22,,,,,,,,,,,74.6,3.17,22.22,33.33,41.27,58.73,1.59,39.68,34.92,23.81,44.44,7.94,47.62,39.68,4.76,73.33
37,71530,ALTINENCIA VALLE,BAYAMON,TOA BAJA,TOA BAJA,BO CAMPANILLA CALLE PALMA 2,TOA BAJA,PR,00951-0000,"(18.42334, -66.23427)",794-1460,794-1460,JOSEFINA MARRERO GONZALEZ,RURAL,SI,ELEMENTAL,"K - 6 , EEE","K - 6 , EEE",595,,,,,,45,95,74,73,80,76,74,35,25,18,,,,,,,40.11,13.37,46.52,25.67,14.44,35.29,16.84,47.86,22.46,12.83,33.15,22.37,44.47,26.42,6.74,86.66
38,60319,AMALIA EXPOSITO,SAN JUAN,CAROLINA,CAROLINA II,BO BUENA VISTA CALLE GRANADA ESQ ROSALES,CAROLINA,PR,00984-0000,"(18.39996, -65.95258)",762-1117,752-9238,MIGDALIA NIEVES ACEVEDO,URBANA,NO,ELEMENTAL,"K - 6 , EEE","K - 6 , EEE",267,,,,,,46,41,38,42,38,36,,26,,,,,,,,,70.11,3.26,26.63,17.93,52.17,73.37,1.63,25,37.5,35.87,72.83,4.89,22.28,44.02,28.8,86.12
39,20602,AMALIA H MANGUAL,CAGUAS,GURABO,CAGUAS I,CARR 175 KM 2 HM 2 BO SAN ANTONIO,CAGUAS,PR,7264956,"(18.30274, -66.03686)",747-1311,745-0622,DIANA GABRIEL,RURAL,NO,ELEMENTAL,K - 6,K - 6,101,,,,,,13,20,22,13,15,18,,,,,,,,,,,76.09,0,23.91,30.43,45.65,78.26,0,21.74,30.43,47.83,56.52,8.7,34.78,43.48,13.04,84.38
40,17467,AMALIA LOPEZ DE AVILA (NUEVA),ARECIBO,CAMUY,CAMUY,"CARR. 119 KM 5.6 INT.BO PUENTE, SECTOR ZARZA",CAMUY,PR,00627-0000,"(18.46785, -66.84433)",898-4830,898-4815,MARISOL HERNANDEZ HERMINA,RURAL,SI,ELEMENTAL,"K - 6 , EEE",K - 5,453,,,,11,,72,74,73,61,77,80,,5,,,,,,,,,80.82,1.37,17.81,28.77,52.05,61.64,1.37,36.99,24.66,36.99,83.56,0,16.44,47.95,35.62,79.71
41,71621,AMALIA LOPEZ DE VILA,BAYAMON,TOA BAJA,TOA BAJA,CALLE JODE A DAVILA 5TA SECCION LEVITTOWN,TOA BAJA,PR,00950-0000,"(18.44145, -66.18546)",784-2035,261-2513,AWILDA CRUZ,URBANA,NO,ELEMENTAL,"K - 6 , EEE","K - 5, EEE",165,,,,,,20,36,24,21,30,26,,8,,,,,,,,,56.79,12.35,30.86,33.33,23.46,60.76,3.8,35.44,20.25,40.51,41.25,16.25,42.5,33.75,7.5,86.71
42,62661,AMALIA MARIN,SAN JUAN,SAN JUAN II,SAN JUAN V,CALLE PENASCO FINAL PARADISE HILLS,SAN JUAN,PR,00926-0000,"(18.37701, -66.06276)",763-5218,763-5218,IDALIA SANCHEZ RIVERA,URBANA,SI,SECUNDARIO,"7 - 12 , EEI","7 - 12 , EEI",380,,,,,,,,,,,,50,,43,40,52,6,60,70,59,,18.59,28.85,52.56,13.46,5.13,0,45.81,54.19,0,0,15.58,55.19,29.22,12.34,3.25,68.61
43,62679,AMALIA MARIN,SAN JUAN,SAN JUAN II,SAN JUAN III,"CALLE GUARACANAL, BO. VENEZUELA",SAN JUAN,PR,00926-0000,"(18.39313, -66.05409)",764-0093,764-0093,LUZ CANALES,URBANA,SI,ELEMENTAL,"K - 6 , EEE","K - 6, EEE",236,,,,,,43,41,32,32,44,33,,11,,,,,,,,,78.48,5.06,16.46,12.66,65.82,68.35,16.46,15.19,21.52,46.84,65.82,7.59,26.58,22.78,43.04,86.73
44,43166,AMINA TIO DE MALARET,MAYAGUEZ,CABO ROJO,SAN GERMAN,URB VILLA INTERAMERICANA CALLE 1,SAN GERMAN,PR,00683-0000,"(18.07922, -67.04179)",892-5759,892-5759,JOSE ARROYO CARDOZA,URBANA,NO,ELEMENTAL,K - 6,K - 6,137,,,,,,23,19,26,23,24,22,,,,,,,,,,,85.86,1.01,13.13,13.13,72.73,92,2,6,27,65,96,1,3,36,60,82.81
45,35766,ANA DELIA FLORES SANTANA  VOC,HUMACAO,FAJARDO,FAJARDO,BO QUEBRADA VUELTA,FAJARDO,PR,7381007,"(18.30027, -65.64811)",863-0424,860-7035,HILDA COLLADO BAEZ / EVELYN CARRION,RURAL,SI,SUPERIOR,"10 - 12 , EES","10 - 12 , EES",757,,,,,,,,,,,,,,,,,,275,234,213,35,48.95,12.66,38.4,27.43,21.52,3.8,23.21,73,2.95,0.84,48.31,24.15,27.54,22.88,25.42,71.02
46,27979,ANA HERNANDEZ USERA,CAGUAS,GUAYAMA,SALINAS,CARR 3 KM 156 HM 0 BO COQUI,SALINAS,PR,7040000,"(17.97604, -66.22832)",853-2636,853-2636,MARICELI AVILES SANTIAGO,RURAL,NO,ELEMENTAL,K - 6,K - 6,171,,,,,,25,20,31,20,42,33,,,,,,,,,,,73.91,2.17,23.91,36.96,36.96,84.78,1.09,14.13,23.91,60.87,67.39,2.17,30.43,43.48,23.91,81.6
47,26013,ANA J CANDELAS,CAGUAS,CIDRA,CIDRA,CARR 171 KM 0 HM 3 BO SUD,CIDRA,PR,00739-0000,"(18.17064, -66.16219)",739-8070,739-3740,JOSE ARZOLA DONES,URBANA,SI,SUPERIOR,12-Oct,12-Oct,490,,,,,,,,,,,,,,,,93,,166,117,114,,50.47,8.41,41.12,28.04,22.43,20.56,10.28,69.16,14.02,6.54,42.06,28.04,29.91,25.23,16.82,75.31
48,40493,ANA M. JAVARIZ,MAYAGUEZ,AGUADILLA,AGUADILLA,CARR.107 URB. EL PRADO,AGUADILLA,PR,00603-0000,"(18.45022, -67.14958)",891-2260,882-5175,ARACELIS VEGA CASTILLO,RURAL,SI,ELEMENTAL,"K - 6 , EEE","K - 6 , EEE",206,,,,,,25,31,35,38,38,29,,10,,,,,,,,,74.21,4.4,21.38,20.75,53.46,58.49,3.77,37.74,33.33,25.16,83.02,0,16.98,42.77,40.25,95.92
49,53678,ANA MARIA NEGRON,PONCE,YAUCO,YAUCO,CARR 335 KM 3 HM 3 BO BARINAS,YAUCO,PR,6980048,"(18.00504, -66.84447)",856-4020,856-4041,SONIA MARIA LOZANO ARVELO,RURAL,NO,INTERMEDIO,9-Jul,9-Jul,170,,,,,,,,,,,,55,,65,50,,,,,,,43.86,11.4,44.74,33.33,10.53,8.77,13.16,78.07,7.89,0.88,35.09,28.95,35.96,26.32,8.77,71.18
50,30270,ANA ROQUE DE DUPREY,HUMACAO,LAS PIEDRAS,HUMACAO,CALLE DR VIDAL CARR #3; AL LADO DE SANTOS TEXACO,HUMACAO,PR,00792-0000,"(18.14917, -65.82054)",852-1115 - 852-0820,852-0820,CONCHITA A. SANTIAGO ALVAREZ,URBANA,SI,SUPERIOR,12-Oct,12-Oct,581,,,,,,,,,,,,,,,,123,,155,155,148,,37.5,22.22,40.28,23.61,13.89,2.78,41.67,55.56,2.78,0,34.72,41.67,23.61,22.22,12.5,64.85
